academic_year,admission_route,institute_code,college_name,college_status,college_type,autonomous,cap_seats,branch_code,branch_name,sanctioned_intake,maharashtra_seats,minority_seats,all_india_seats,institute_seats,orphan_seats,ews_seats,tfws_choice_code,tfws_seats,vacant_seats,lateral_entry_seats,pwd_seats,defence_seats,category_seats,source_file,source_page,needs_review,review_reason
2024-25,DSE,01002,"Government College of Engineering, Amravati",Government - Autonomous,Government -,true,10,0100219110,Civil Engineering,,8,0,,,0,2,,,0,6,0,0,"{""OPEN"":{""general"":2,""ladies"":1},""SC"":{""general"":1,""ladies"":0},""ST"":{""general"":0,""ladies"":1},""VJDT"":{""general"":0,""ladies"":0},""NTB"":{""general"":0,""ladies"":0},""NTC"":{""general"":0,""ladies"":0},""NTD"":{""general"":0,""ladies"":0},""OBC"":{""general"":0,""ladies"":1},""SEBC"":{""general"":1,""ladies"":0}}",dse_seat_matrix_2024_25.pdf,2,false,
2024-25,DSE,01002,"Government College of Engineering, Amravati",Government - Autonomous,Government -,true,14,0100224210,Computer Science and Engineering,,10,0,,,0,4,,,2,6,0,0,"{""OPEN"":{""general"":3,""ladies"":1},""SC"":{""general"":1,""ladies"":0},""ST"":{""general"":1,""ladies"":0},""VJDT"":{""general"":0,""ladies"":0},""NTB"":{""general"":0,""ladies"":0},""NTC"":{""general"":0,""ladies"":0},""NTD"":{""general"":0,""ladies"":0},""OBC"":{""general"":2,""ladies"":0},""SEBC"":{""general"":0,""ladies"":1}}",dse_seat_matrix_2024_25.pdf,2,false,
2024-25,DSE,01002,"Government College of Engineering, Amravati",Government - Autonomous,Government -,true,9,0100224610,Information Technology,,8,0,,,0,1,,,0,6,0,0,"{""OPEN"":{""general"":2,""ladies"":1},""SC"":{""general"":0,""ladies"":1},""ST"":{""general"":1,""ladies"":0},""VJDT"":{""general"":0,""ladies"":0},""NTB"":{""general"":0,""ladies"":0},""NTC"":{""general"":0,""ladies"":0},""NTD"":{""general"":0,""ladies"":0},""OBC"":{""general"":0,""ladies"":1},""SEBC"":{""general"":1,""ladies"":0}}",dse_seat_matrix_2024_25.pdf,2,false,
2024-25,DSE,01002,"Government College of Engineering, Amravati",Government - Autonomous,Government -,true,12,0100229310,Electrical Engineering,,11,0,,,0,1,,,3,6,0,0,"{""OPEN"":{""general"":2,""ladies"":2},""SC"":{""general"":1,""ladies"":0},""ST"":{""general"":0,""ladies"":1},""VJDT"":{""general"":1,""ladies"":0},""NTB"":{""general"":0,""ladies"":0},""NTC"":{""general"":0,""ladies"":0},""NTD"":{""general"":0,""ladies"":0},""OBC"":{""general"":2,""ladies"":0},""SEBC"":{""general"":1,""ladies"":0}}",dse_seat_matrix_2024_25.pdf,3,false,
2024-25,DSE,01002,"Government College of Engineering, Amravati",Government - Autonomous,Government -,true,10,0100237210,Electronics and Telecommunication Engg,,9,0,,,0,1,,,1,6,0,0,"{""OPEN"":{""general"":2,""ladies"":1},""SC"":{""general"":1,""ladies"":0},""ST"":{""general"":1,""ladies"":0},""VJDT"":{""general"":0,""ladies"":0},""NTB"":{""general"":0,""ladies"":0},""NTC"":{""general"":0,""ladies"":0},""NTD"":{""general"":0,""ladies"":0},""OBC"":{""general"":1,""ladies"":1},""SEBC"":{""general"":0,""ladies"":1}}",dse_seat_matrix_2024_25.pdf,3,false,
2024-25,DSE,01002,"Government College of Engineering, Amravati",Government - Autonomous,Government -,true,5,0100246610,Instrumentation Engineering,,5,0,,,0,0,,,1,3,0,0,"{""OPEN"":{""general"":2,""ladies"":0},""SC"":{""general"":0,""ladies"":1},""ST"":{""general"":0,""ladies"":0},""VJDT"":{""general"":0,""ladies"":0},""NTB"":{""general"":0,""ladies"":0},""NTC"":{""general"":0,""ladies"":0},""NTD"":{""general"":0,""ladies"":0},""OBC"":{""general"":1,""ladies"":0},""SEBC"":{""general"":1,""ladies"":0}}",dse_seat_matrix_2024_25.pdf,3,false,
2024-25,DSE,01002,"Government College of Engineering, Amravati",Government - Autonomous,Government -,true,9,0100261210,Mechanical Engineering,,8,0,,,0,1,,,0,6,0,0,"{""OPEN"":{""general"":2,""ladies"":1},""SC"":{""general"":1,""ladies"":0},""ST"":{""general"":1,""ladies"":0},""VJDT"":{""general"":0,""ladies"":0},""NTB"":{""general"":0,""ladies"":0},""NTC"":{""general"":0,""ladies"":0},""NTD"":{""general"":0,""ladies"":0},""OBC"":{""general"":0,""ladies"":1},""SEBC"":{""general"":0,""ladies"":1}}",dse_seat_matrix_2024_25.pdf,4,false,
2024-25,DSE,01005,"Sant Gadge Baba Amravati University,Amravati",University Department,University Department,false,13,0100550310,Food Technology,,12,0,,,0,1,,,9,2,2,2,"{""OPEN"":{""general"":3,""ladies"":2},""SC"":{""general"":1,""ladies"":0},""ST"":{""general"":0,""ladies"":1},""VJDT"":{""general"":0,""ladies"":0},""NTB"":{""general"":1,""ladies"":0},""NTC"":{""general"":1,""ladies"":0},""NTD"":{""general"":0,""ladies"":0},""OBC"":{""general"":2,""ladies"":0},""SEBC"":{""general"":1,""ladies"":0}}",dse_seat_matrix_2024_25.pdf,5,false,
2024-25,DSE,01005,"Sant Gadge Baba Amravati University,Amravati",University Department,University Department,false,7,0100551710,Oil and Paints Technology,,7,0,,,0,0,,,4,2,0,0,"{""OPEN"":{""general"":2,""ladies"":1},""SC"":{""general"":0,""ladies"":1},""ST"":{""general"":1,""ladies"":0},""VJDT"":{""general"":0,""ladies"":0},""NTB"":{""general"":0,""ladies"":0},""NTC"":{""general"":0,""ladies"":0},""NTD"":{""general"":0,""ladies"":0},""OBC"":{""general"":0,""ladies"":1},""SEBC"":{""general"":0,""ladies"":1}}",dse_seat_matrix_2024_25.pdf,5,false,
2024-25,DSE,01005,"Sant Gadge Baba Amravati University,Amravati",University Department,University Department,false,19,0100552410,Paper and Pulp Technology,,17,0,,,0,2,,,14,2,2,2,"{""OPEN"":{""general"":5,""ladies"":2},""SC"":{""general"":2,""ladies"":0},""ST"":{""general"":0,""ladies"":1},""VJDT"":{""general"":0,""ladies"":1},""NTB"":{""general"":0,""ladies"":0},""NTC"":{""general"":0,""ladies"":0},""NTD"":{""general"":1,""ladies"":0},""OBC"":{""general"":2,""ladies"":1},""SEBC"":{""general"":2,""ladies"":0}}",dse_seat_matrix_2024_25.pdf,5,false,
