academic_year,admission_route,cap_round,quota,institute_code,college_name,branch_code,branch_name,college_status,university,section,seat_type,category,gender,university_type,stage,opening_rank,closing_rank,opening_score,closing_score,source_file,source_page,extraction_method,verified,needs_review,review_reason
2025-26,FE,3,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,,STATE,GOPENS,OPEN,GENERAL,STATE,I,,31618,,90.6688280,FE_2025_CAP3_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,3,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,,STATE,GSCS,SC,GENERAL,STATE,I,,53254,,84.0359888,FE_2025_CAP3_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,3,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,,STATE,GNT1S,NT1,GENERAL,STATE,I,,49466,,85.1919561,FE_2025_CAP3_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,3,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,,STATE,GSEBCS,SEBC,GENERAL,STATE,I,,73539,,77.1618860,FE_2025_CAP3_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,3,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,,STATE,LSCS,SC,LADIES,STATE,I,,41066,,87.9159305,FE_2025_CAP3_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,3,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,,STATE,LSEBCS,SEBC,LADIES,STATE,I,,91727,,70.6189283,FE_2025_CAP3_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,3,MH,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,,STATE,GOPENS,OPEN,GENERAL,STATE,I,,10017,,97.1220006,FE_2025_CAP3_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,3,MH,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,,STATE,GOBCS,OBC,GENERAL,STATE,I,,11290,,96.7783105,FE_2025_CAP3_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,3,MH,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,,STATE,GOPENS,OPEN,GENERAL,STATE,I,,13634,,96.0780932,FE_2025_CAP3_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,3,MH,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,,STATE,GVJS,VJ,GENERAL,STATE,I,,26351,,92.3341523,FE_2025_CAP3_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,3,MH,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,,STATE,GNT2S,NT2,GENERAL,STATE,I,,23636,,93.1055879,FE_2025_CAP3_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,3,MH,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,,STATE,GOBCS,OBC,GENERAL,STATE,I,,14798,,95.7536628,FE_2025_CAP3_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,3,MH,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,,STATE,LOPENS,OPEN,LADIES,STATE,I,,12774,,96.3424067,FE_2025_CAP3_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,3,MH,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,,STATE,LOBCS,OBC,LADIES,STATE,I,,15087,,95.6472486,FE_2025_CAP3_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,3,MH,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,,STATE,TFWS,TFWS,SPECIAL,STATE,I,,14372,,95.8681150,FE_2025_CAP3_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,3,MH,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,,STATE,EWS,EWS,SPECIAL,STATE,I,,18334,,94.7364547,FE_2025_CAP3_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,3,MH,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous,,STATE,GOPENS,OPEN,GENERAL,STATE,I,,27004,,92.0769231,FE_2025_CAP3_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,3,MH,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous,,STATE,GSCS,SC,GENERAL,STATE,I,,29152,,91.4450061,FE_2025_CAP3_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,3,MH,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous,,STATE,GSEBCS,SEBC,GENERAL,STATE,I,,50107,,85.0571556,FE_2025_CAP3_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,3,MH,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous,,STATE,LOPENS,OPEN,LADIES,STATE,I,,24597,,92.8376317,FE_2025_CAP3_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,3,MH,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous,,STATE,LOBCS,OBC,LADIES,STATE,I,,26902,,92.1231015,FE_2025_CAP3_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,3,MH,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous,,STATE,DEFOPENS,OPEN,SPECIAL,STATE,I,,64751,,80.3531469,FE_2025_CAP3_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,3,MH,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous,,STATE,DEFROBCS,OBC,SPECIAL,STATE,I,,174647,,26.7336064,FE_2025_CAP3_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,3,MH,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous,,STATE,ORPHAN,ORPHAN,SPECIAL,STATE,I,,71160,,78.2722320,FE_2025_CAP3_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,3,MH,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous,,STATE,GOPENS,OPEN,GENERAL,STATE,VII,,27160,,92.0737359,FE_2025_CAP3_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN;DUPLICATE_UNIQUE_KEY
2025-26,FE,3,MH,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous,,STATE,GOPENS,OPEN,GENERAL,STATE,I,,14271,,95.9185080,FE_2025_CAP3_MH.pdf,2,pdfplumber_text,false,false,
2025-26,FE,3,MH,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous,,STATE,GSTS,ST,GENERAL,STATE,I,,65065,,80.0000000,FE_2025_CAP3_MH.pdf,2,pdfplumber_text,false,false,
2025-26,FE,3,MH,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous,,STATE,GOBCS,OBC,GENERAL,STATE,I,,16933,,95.1095384,FE_2025_CAP3_MH.pdf,2,pdfplumber_text,false,false,
2025-26,FE,3,MH,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous,,STATE,GSEBCS,SEBC,GENERAL,STATE,I,,33196,,90.1729075,FE_2025_CAP3_MH.pdf,2,pdfplumber_text,false,false,
2025-26,FE,3,MH,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous,,STATE,TFWS,TFWS,SPECIAL,STATE,I,,15807,,95.4261304,FE_2025_CAP3_MH.pdf,2,pdfplumber_text,false,false,
2025-26,FE,3,MH,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous,,STATE,DEFRSEBCS,SEBC,SPECIAL,STATE,I,,96522,,68.9620341,FE_2025_CAP3_MH.pdf,2,pdfplumber_text,false,false,
2025-26,FE,3,MH,01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,Government Autonomous,,STATE,GOPENS,OPEN,GENERAL,STATE,I,,36139,,89.2945239,FE_2025_CAP3_MH.pdf,2,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,3,MH,01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,Government Autonomous,,STATE,GVJS,VJ,GENERAL,STATE,I,,72602,,77.5384615,FE_2025_CAP3_MH.pdf,2,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
